"","UserID","Condition","SocialContext","BodyType","Sex","SAM_Valance","SAM_Arousal","SAM_Dominance","IOS","Intimidated","Jealousy","Empathy","Envy","Embarressed","Guilty","Pride","Shame","Admire","enjoyed_activity","tried_hard","attracted_to_other_person","responsible_for_other_person","repulsed","focused_on_the_other_person","focused_on_myself","satisfied_with_performance","IMI_Relatedness","SEES_PositiveWellBeing","SEES_PsychologicalDistress","SEES_Fatigue","NumberOfSitUps","Time","HR","AGE","Gender","AttrAvatar","IndentifyAvatar","SUS","SMS_Amotivaation","SMS_EXReg","SMS_IntReg","SMS_IdReg","SMS_InteReg","SMS_IntMot","SMS","Cooperation","Competition","Attracted","DivGen_Attr","DivGen_AttrAv","DivAv_AttraktedAv","DivAv_IndentifyG","DivAv_IndentifyAv","DivCoopComp","Sporty","NumberOfSitUpsNorm","CCooperation","CCompetition"
"13","CUI2899","OObM","O","Ob","M",1,2,2,2,3,2,2,1,1,1,2,1,2,5,5,1,1,3,2,6,6,3.5,4.75,1.25,1.5,5,2.62000000476837,90,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,0,"FALSE",0,"FALSE",0,0,5,-1.46794871794871,-0.0645833333333332
"14","CUI2899","OSliF","O","Sli","F",1,2,3,3,2,3,4,2,2,2,2,2,2,6,6,2,1,2,4,4,5,3.875,4.5,1.25,1.75,7,2.26500002543131,101,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,1,"TRUE",0,"FALSE",0,0,7,-1.46794871794871,-0.0645833333333332
"15","CUI2899","OMusF","O","Mus","F",2,2,3,3,2,3,2,2,1,1,2,1,2,6,6,2,2,2,5,4,3,3.5,4.5,1.5,2.5,7,2.02333335081736,89,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,1,"FALSE",0,"FALSE",0,0,7,-1.46794871794871,-0.0645833333333332
"16","CUI2899","OObF","O","Ob","F",1,2,4,3,1,1,2,1,1,2,1,1,2,6,6,1,2,1,4,5,6,3.875,5.25,1,1.25,7,2.08000000317891,83,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,1,"FALSE",0,"FALSE",0,0,7,-1.46794871794871,-0.0645833333333332
"17","CUI2899","OSliM","O","Sli","M",2,2,3,4,3,2,3,1,1,1,1,1,2,6,7,2,1,1,5,6,6,4.625,4.25,1,1.75,8,1.96428571428571,83,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,0,"FALSE",0,"TRUE",0,0,8,-1.46794871794871,-0.0645833333333332
"18","CUI2899","OMusM","O","Mus","M",1,2,4,4,3,3,2,1,1,1,4,2,1,6,7,2,1,1,4,5,5,4.375,4.5,1,2,8,1.92428571837289,83,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,0,"FALSE",0,"FALSE",0,0,8,-1.46794871794871,-0.0645833333333332
"19","CUI2899","TObM","T","Ob","M",1,4,3,4,1,1,2,1,1,2,6,1,1,6,5,1,6,2,1,7,7,4.375,4.75,1,2,7,2.05166669686635,96,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,0,"FALSE",0,"FALSE",0,0,7,-1.46794871794871,-0.0645833333333332
"20","CUI2899","TSliF","T","Sli","F",1,2,5,5,1,2,6,1,1,1,4,1,2,6,6,2,3,2,4,4,6,5.5,4.5,1,2,8,1.84571429661342,83,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,1,"TRUE",0,"FALSE",0,0,8,-1.46794871794871,-0.0645833333333332
"21","CUI2899","TMusF","T","Mus","F",2,4,3,3,2,2,2,2,1,1,2,1,2,5,3,2,1,2,2,6,5,3.25,4.25,1,2.25,7,2.08333333333333,82,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,1,"FALSE",0,"FALSE",0,0,7,-1.46794871794871,-0.0645833333333332
"22","CUI2899","TObF","T","Ob","F",2,4,5,3,1,1,1,1,1,1,4,1,1,4,5,1,3,1,2,6,6,4.5,4,1,2.5,8,1.99857142993382,85,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,1,"FALSE",0,"FALSE",0,0,8,-1.46794871794871,-0.0645833333333332
"23","CUI2899","TSliM","T","Sli","M",2,3,5,5,1,1,3,1,1,1,4,1,2,5,4,2,2,1,4,4,5,5.375,5,1,2.5,8,1.96714285441807,94,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,0,"FALSE",0,"TRUE",0,0,8,-1.46794871794871,-0.0645833333333332
"24","CUI2899","TMusM","T","Mus","M",1,4,5,3,2,2,1,2,1,1,6,1,2,6,7,1,1,2,6,6,5,5,4.5,1,2.75,8,1.82428571156093,100,23,"M","FSli","MSli",3.85714285714286,1,1.75,3.25,3.5,3.5,5,3,4,3.7,2,3,0,"FALSE",0,"FALSE",0,0,8,-1.46794871794871,-0.0645833333333332
